offense_id,category,date,time,neighborhood,npu,x,y
152833042077,HOMICIDE,10/10/2015,23:17:00,Perkerson,X,-84.40938,33.68586
152803076076,HOMICIDE,10/7/2015,21:06:00,Hammond Park,X,-84.4122,33.6734
152483082075,HOMICIDE,9/5/2015,23:47:00,Lincoln Homes,G,-84.48077,33.79947
140041432,LARCENY-NON VEHICLE,1/4/2015,15:00:00,Vine City,L,-84.41457,33.75504
150010079,ROBBERY-PEDESTRIAN,1/1/2015,0:03:00,Grant Park,W,-84.35917,33.73991
150010214,AGG ASSAULT,1/1/2015,0:30:00,Fairburn Mays,H,-84.50968,33.74349
150010417,LARCENY-NON VEHICLE,1/1/2015,2:00:00,Summerhill,V,-84.38686,33.74229
150010419,AGG ASSAULT,1/1/2015,1:50:00,Oakland City,S,-84.42831,33.71759
150010442,AUTO THEFT,1/1/2015,0:30:00,Pittsburgh,V,-84.40177,33.73396
150010468,AGG ASSAULT,1/1/2015,2:15:00,Downtown,M,-84.38406,33.76139
150010601,AGG ASSAULT,1/1/2015,3:00:00,Downtown,M,-84.38554,33.76929
150010608,ROBBERY-PEDESTRIAN,1/1/2015,2:48:00,South Atlanta,Y,-84.38374,33.7173
150010661,ROBBERY-PEDESTRIAN,1/1/2015,2:00:00,Underwood Hills,D,-84.41623,33.80076
150010872,BURGLARY-RESIDENCE,1/1/2015,5:40:00,The Villages at East Lake,O,-84.3165,33.74577
150010893,AGG ASSAULT,1/1/2015,4:30:00,Summerhill,V,-84.38909,33.74245
150010977,LARCENY-NON VEHICLE,1/1/2015,6:30:00,Old Fourth Ward,M,-84.37191,33.76728
153552118096,HOMICIDE,12/21/2015,17:00:00,Custer/McDonough/Guice,W,-84.35007,33.71206
153430806095,HOMICIDE,12/9/2015,NULL,Chosewood Park,Y,-84.37847,33.71977
153413409094,HOMICIDE,12/8/2015,0:01:00,West End,T,-84.43068,33.73482
153383232092,HOMICIDE,12/4/2015,21:13:00,Midtown,E,-84.37218,33.77935
153392159093,HOMICIDE,12/5/2015,17:38:00,Hunter Hills,K,-84.42478,33.76294
153290063088,HOMICIDE,11/25/2015,0:23:00,Southwest,R,-84.48137,33.70427
153191646087,HOMICIDE,11/15/2015,14:50:00,Wildwood (NPU-H),H,-84.50959,33.74367
153131939086,HOMICIDE,11/9/2015,NULL,Southwest,R,-84.48473,33.70025
153111605085,HOMICIDE,11/7/2015,13:18:00,Hammond Park,X,-84.4059,33.68116
153093039083,HOMICIDE,11/5/2015,19:15:00,Fairburn,P,-84.51854,33.69192
153093039084,HOMICIDE,11/5/2015,19:15:00,Fairburn,P,-84.51854,33.69192
153070501082,HOMICIDE,11/3/2015,4:31:00,Atlanta University Center,T,-84.41731,33.75109
152961366080,HOMICIDE,10/23/2015,9:30:00,Pittsburgh,V,-84.40468,33.72918
152860111078,HOMICIDE,10/13/2015,0:43:00,Venetian Hills,S,-84.43601,33.71426
152832722079,HOMICIDE,10/10/2015,20:43:00,West Lake,J,-84.44069,33.76071
150011023,AGG ASSAULT,1/1/2015,8:18:00,Southwest,R,-84.4975,33.69867
150011124,ROBBERY-PEDESTRIAN,1/1/2015,2:00:00,Collier Heights,I,-84.4911,33.7852
150011209,LARCENY-NON VEHICLE,1/1/2015,10:15:00,Old Fourth Ward,M,-84.3714,33.77097
150011276,AGG ASSAULT,1/11/2015,15:33:00,Atlanta University Center,T,-84.40453,33.74889
150011506,LARCENY-FROM VEHICLE,1/1/2015,14:36:00,North Buckhead,B,-84.36278,33.85302
150011616,LARCENY-NON VEHICLE,1/1/2015,15:49:00,Berkeley Park,D,-84.41348,33.80448
150011690,ROBBERY-PEDESTRIAN,1/1/2015,16:15:00,Lindbergh/Morosgo,B,-84.36425,33.81948
150011721,LARCENY-FROM VEHICLE,4/11/2015,14:45:00,Pittsburgh,V,-84.4022,33.72676
150011784,ROBBERY-RESIDENCE,1/1/2015,16:30:00,Reynoldstown,N,-84.35732,33.74708
150011828,LARCENY-FROM VEHICLE,1/1/2015,12:00:00,Castleberry Hill,M,-84.40285,33.74667
150011890,ROBBERY-PEDESTRIAN,1/1/2015,18:00:00,Capitol Gateway,V,-84.38143,33.7453
150011891,LARCENY-NON VEHICLE,1/1/2015,17:50:00,Woodland Hills,W,-84.35045,33.72055
150011925,LARCENY-NON VEHICLE,1/1/2015,1:30:00,Midtown,E,-84.38437,33.78601
150012012,AUTO THEFT,1/1/2015,18:00:00,West End,T,-84.41564,33.73592
150012140,LARCENY-FROM VEHICLE,1/1/2015,1:00:00,Vine City,L,-84.41612,33.76319
150012144,BURGLARY-RESIDENCE,1/1/2015,20:02:00,Greenbriar,R,-84.49371,33.68066
150012147,LARCENY-FROM VEHICLE,1/1/2015,20:00:00,Lenox,B,-84.36212,33.84676
150012154,ROBBERY-PEDESTRIAN,1/1/2015,19:55:00,Reynoldstown,N,-84.35199,33.75739
150012204,LARCENY-FROM VEHICLE,1/1/2015,19:30:00,Morningside/Lenox Park,F,-84.36471,33.80875
150012205,LARCENY-FROM VEHICLE,1/1/2015,20:00:00,Lindridge/Martin Manor,F,-84.35375,33.8145
150012209,LARCENY-NON VEHICLE,1/1/2015,19:00:00,West End,T,-84.42136,33.73845
150012214,AUTO THEFT,1/1/2015,18:00:00,West End,T,-84.42072,33.73468
150012251,LARCENY-FROM VEHICLE,1/1/2015,21:00:00,Home Park,E,-84.40086,33.78593
150012260,BURGLARY-RESIDENCE,1/1/2015,16:30:00,Glenrose Heights,Z,-84.39138,33.66657
150012341,LARCENY-FROM VEHICLE,1/1/2015,19:05:00,Midtown,E,-84.38975,33.77487
150012369,LARCENY-FROM VEHICLE,1/1/2015,20:30:00,Midtown,E,-84.38717,33.77889
150012371,LARCENY-FROM VEHICLE,1/1/2015,20:00:00,Downtown,M,-84.38487,33.76896
150012378,AUTO THEFT,1/1/2015,20:30:00,Midtown,E,-84.38319,33.7762
150012457,LARCENY-FROM VEHICLE,1/1/2015,18:00:00,NULL,E,-84.39195,33.81262
150012537,BURGLARY-RESIDENCE,1/1/2015,19:00:00,Scotts Crossing,G,-84.47246,33.79898
150012559,ROBBERY-PEDESTRIAN,1/1/2015,23:55:00,Adamsville,H,-84.49736,33.75392
150020050,LARCENY-FROM VEHICLE,1/1/2015,9:00:00,Midtown,E,-84.3794,33.77961
150020054,LARCENY-NON VEHICLE,1/1/2015,23:45:00,Adamsville,H,-84.49736,33.75392
